"EMAIL","ID","ISFRAUD","NAME","PHONENUMBER","SSN"
"hudsonmorris878@mail.com","4403346685586374","true","Hudson Morris","185-783-1235","878-92-1146"
"jacksoncabrera691@mail.com","4889592132732003","true","Jackson Cabrera","766-649-780","691-10-5102"
"matthew.barry667@mail.com","4876281590420864","true","Matthew Barry","713-402-2480","667-13-4091"
"juan.williams606@gmail.com","4111314778042310","true","Juan Williams","578-833-3591","606-40-1811"
"camila.patel241@yahoo.com","4756225504544454","true","Camila Patel","044-270-7124","241-20-3842"
"tristansosa502@mail.com","4221203098728012","true","Tristan Sosa","338-826-828","502-07-8613"
"noahblanchard318@yahoo.com","4948980857801641","true","Noah Blanchard","404-865-3811","318-70-3236"
"jose.robbins647@yahoo.com","4713875011658379","true","Jose Robbins","046-496-7261","647-60-6177"
"matthewpeck582@mail.com","4905261316152319","true","Matthew Peck","063-530-6085","582-17-1585"
"mueller722@yahoo.com","4530290273653129","true","Addison Mueller","989-595-889","722-72-3616"
"roberts863@yahoo.com","4745580981564332","true","Samantha Roberts","996-051-4727","863-47-2857"
"wyattcohen831@gmail.com","4560248735199209","true","Wyatt Cohen","357-581-8745","831-14-2756"
"julianwarren894@yahoo.com","4472094239361557","true","Julian Warren","359-957-1716","894-06-6217"
"byers204@mail.com","4882234888667276","true","Hannah Byers","176-858-7562","204-75-5139"
"perez664@yahoo.com","4889699965998161","true","Ian Perez","723-116-610","664-86-8668"
"andrewadkins277@yahoo.com","4978060199279401","true","Andrew Adkins","685-384-7950","277-11-5711"
"brysonguerrero202@gmail.com","4117062741319265","true","Bryson Guerrero","871-238-356","202-18-5689"
"grace.dickerson481@gmail.com","4703706549747693","true","Grace Dickerson","565-750-8120","481-68-0712"
"jayden.cooper007@gmail.com","4544742466390244","true","Jayden Cooper","493-755-1635","007-47-2637"
"aguilar570@gmail.com","4145736574359086","true","Ethan Aguilar","240-666-1189","570-39-7984"
"graysonfloyd400@gmail.com","4174759848890722","true","Grayson Floyd","042-102-813","400-74-4501"
"khloe.bishop063@gmail.com","4528302092557334","true","Khloe Bishop","578-355-290","063-86-4176"
"elliepetty364@yahoo.com","4129656903539606","true","Ellie Petty","139-344-801","364-56-3393"
"lillian.elliott678@gmail.com","4740673726551766","true","Lillian Elliott","801-180-5905","678-95-8441"
"kent713@mail.com","4317048072831935","true","Ryder Kent","445-002-5876","713-59-1965"
"jose.wright431@gmail.com","4355199301424019","true","Jose Wright","825-960-3753","431-24-7310"
"york581@mail.com","4449462946477471","true","Nathan York","512-608-5746","581-30-9235"
"rollins847@yahoo.com","4257432936434825","true","Eli Rollins","207-888-282","847-38-1537"
"aidenhammond727@gmail.com","4318069198936571","true","Aiden Hammond","106-231-1673","727-14-3619"
"jonathan.palmer154@yahoo.com","4723679131725953","true","Jonathan Palmer","160-393-757","154-79-3460"
"oliviaflowers218@mail.com","4485538048885078","true","Olivia Flowers","746-726-5762","218-93-7933"
"spence804@mail.com","4175048645840406","true","Thomas Spence","059-304-8213","804-95-3828"
